id,first_name,last_name,email,phone,gender,age,job_title,years_of_experience,salary,department,Hire Date,Full Name,Designation,Phone
58,Jodi,Harris,jodiharris57145@slingacademy.com,001-466-805-0485,female,34,DevOps Engineer,9,13500,Product,2019-09-15,Jodi Harris,Senior Data Engineer,001-466-805-0485
59,Michael,Calhoun,michaelcalhoun58176@slingacademy.com,001-931-707-3027,male,23,Web Developer,1,7500,Product,2018-05-10,Michael Calhoun,System Engineer,001-931-707-3027
60,Aaron,Tran,aarontran59178@slingacademy.com,+1-121-704-1976x1624,male,40,DevOps Engineer,15,16500,Product,2019-09-15,Aaron Tran,Lead,Invalid Number
61,Karen,Aguirre,karenaguirre60547@slingacademy.com,+1-159-954-5997x959,female,36,Web Developer,13,13500,Product,2018-05-10,Karen Aguirre,Lead,Invalid Number
62,Danielle,Morrison,daniellemorrison61394@slingacademy.com,001-256-780-2930x98623,female,31,HR Manager,7,9500,Human Resource,2018-05-10,Danielle Morrison,Senior Data Engineer,Invalid Number
63,Amanda,Thomas,amandathomas62614@slingacademy.com,001-629-462-1944,female,28,Web Developer,6,9000,Product,2020-07-20,Amanda Thomas,Senior Data Engineer,001-629-462-1944
64,Sarah,Spencer,sarahspencer63772@slingacademy.com,(025)089-0360,female,36,Tester,14,14000,Product,2020-07-20,Sarah Spencer,Lead,(025)089-0360
65,Jessica,Ho,jessicaho64531@slingacademy.com,251-289-1532,female,34,DevOps Engineer,10,12000,Product,2019-09-15,Jessica Ho,Senior Data Engineer,251-289-1532
66,Kristy,Rhodes,kristyrhodes65269@slingacademy.com,001-482-958-2236x124,female,40,Web Developer,15,13500,Product,2019-09-15,Kristy Rhodes,Lead,Invalid Number
67,Joseph,Hobbs,josephhobbs66797@slingacademy.com,114.830.3568x128,male,26,Mobile Developer,1,7500,Product,2022-04-30,Joseph Hobbs,System Engineer,Invalid Number
68,Allison,Matthews,allisonmatthews67756@slingacademy.com,(394)302-9258,female,35,Web Developer,12,12000,Product,2020-07-20,Allison Matthews,Lead,(394)302-9258
69,James,Phillips,jamesphillips68522@slingacademy.com,(733)967-0336,male,40,Web Developer,15,14500,Product,2022-04-30,James Phillips,Lead,(733)967-0336
70,Philip,Thomas,philipthomas69207@slingacademy.com,592-756-5695x9778,male,38,DevOps Engineer,12,15000,Product,2018-05-10,Philip Thomas,Lead,Invalid Number
71,Dawn,Walker,dawnwalker70868@slingacademy.com,+1-173-846-6935x7118,female,31,Mobile Developer,6,10000,Product,2020-07-20,Dawn Walker,Senior Data Engineer,Invalid Number
72,Denise,Lopez,deniselopez71911@slingacademy.com,597.328.1460,female,31,Designer,5,9500,Product,2020-07-20,Denise Lopez,Data Engineer,597.328.1460
73,Gregory,House,gregoryhouse72945@slingacademy.com,1541376919,male,34,HR Manager,9,9500,Human Resource,2019-09-15,Gregory House,Senior Data Engineer,1541376919
74,Stacie,Diaz,staciediaz73929@slingacademy.com,110.987.1187x01990,female,31,Machine Learning Engineer,6,11000,Product,2022-04-30,Stacie Diaz,Senior Data Engineer,Invalid Number
75,Barbara,Burns,barbaraburns74284@slingacademy.com,001-724-808-4339x05491,female,33,Web Developer,11,10500,Product,2022-04-30,Barbara Burns,Lead,Invalid Number
76,Jessica,Cortez,jessicacortez75317@slingacademy.com,768.794.6062,female,39,Tester,14,12000,Product,2022-04-30,Jessica Cortez,Lead,768.794.6062
77,Daniel,Hernandez,danielhernandez76747@slingacademy.com,+1-653-006-3659,male,33,Tester,7,9500,Product,2021-12-01,Daniel Hernandez,Senior Data Engineer,+1-653-006-3659
78,Eugene,Diaz,eugenediaz77610@slingacademy.com,625.556.6039x715,male,29,Machine Learning Engineer,3,9500,Product,2018-05-10,Eugene Diaz,Data Engineer,Invalid Number
79,Earl,Nelson,earlnelson78644@slingacademy.com,001-666-637-1061,male,34,Web Developer,11,12500,Product,2022-04-30,Earl Nelson,Lead,001-666-637-1061
80,Elizabeth,Jackson,elizabethjackson79562@slingacademy.com,129-182-2223x8234,female,28,DevOps Engineer,3,8500,Product,2021-12-01,Elizabeth Jackson,Data Engineer,Invalid Number
81,John,Martinez,johnmartinez80595@slingacademy.com,001-116-711-6587,male,26,Web Developer,4,7000,Product,2021-12-01,John Martinez,Data Engineer,001-116-711-6587
82,Wesley,Shaw,wesleyshaw81546@slingacademy.com,0250878834,male,26,Mobile Developer,1,6500,Product,2022-04-30,Wesley Shaw,System Engineer,0250878834
83,Michael,Davila,michaeldavila82958@slingacademy.com,9179864827,male,40,DevOps Engineer,14,16000,Product,2018-05-10,Michael Davila,Lead,9179864827
84,Heidi,Hill,heidihill83123@slingacademy.com,+1-480-021-8701x17016,female,40,Tester,15,12500,Product,2018-05-10,Heidi Hill,Lead,Invalid Number
85,Yvonne,Bass,yvonnebass84513@slingacademy.com,+1-872-139-6739x9455,female,33,Tester,8,9000,Product,2019-09-15,Yvonne Bass,Senior Data Engineer,Invalid Number
86,Jamie,Jones,jamiejones85266@slingacademy.com,001-039-712-8015,female,24,Web Developer,1,6500,Product,2020-07-20,Jamie Jones,System Engineer,001-039-712-8015
87,Brady,Washington,bradywashington86649@slingacademy.com,(720)496-1780x5033,male,23,Designer,1,5500,Product,2021-12-01,Brady Washington,System Engineer,Invalid Number
88,Michael,Rivera,michaelrivera87962@slingacademy.com,243-399-1129,male,29,Web Developer,3,6500,Product,2019-09-15,Michael Rivera,Data Engineer,243-399-1129
89,Angela,Morales,angelamorales88595@slingacademy.com,(340)684-6223x44918,female,28,Web Developer,4,9000,Product,2019-09-15,Angela Morales,Data Engineer,Invalid Number
90,Larry,Moore,larrymoore89266@slingacademy.com,320.169.9790x514,male,28,Web Developer,5,7500,Product,2021-12-01,Larry Moore,Data Engineer,Invalid Number
91,Veronica,Oliver,veronicaoliver90922@slingacademy.com,629-088-9248x536,female,25,Tester,2,7000,Product,2019-09-15,Veronica Oliver,System Engineer,Invalid Number
92,Clayton,Smith,claytonsmith91214@slingacademy.com,8318062400,male,27,Mobile Developer,2,6000,Product,2021-12-01,Clayton Smith,System Engineer,8318062400
93,Tamara,Randall,tamararandall92432@slingacademy.com,001-483-384-8547x78248,female,32,Mobile Developer,10,11000,Product,2022-04-30,Tamara Randall,Senior Data Engineer,Invalid Number
94,Amy,Vaughn,amyvaughn93722@slingacademy.com,542.795.3600x28212,female,28,Designer,5,11500,Product,2020-07-20,Amy Vaughn,Data Engineer,Invalid Number
95,Larry,Chapman,larrychapman94932@slingacademy.com,001-539-747-0649,male,35,Designer,12,12000,Product,2019-09-15,Larry Chapman,Lead,001-539-747-0649
96,Eugene,Mcintyre,eugenemcintyre95994@slingacademy.com,481-160-8125,male,25,HR Manager,2,7000,Human Resource,2018-05-10,Eugene Mcintyre,System Engineer,481-160-8125
97,Patricia,Suarez,patriciasuarez96379@slingacademy.com,(674)788-1168x659,female,41,Designer,15,16500,Product,2022-04-30,Patricia Suarez,Lead,Invalid Number
98,Melissa,Vasquez,melissavasquez97165@slingacademy.com,490-884-4764,female,35,DevOps Engineer,10,12000,Product,2021-12-01,Melissa Vasquez,Senior Data Engineer,490-884-4764
99,Stephanie,Hodges,stephaniehodges98715@slingacademy.com,001-651-909-2654x62888,female,38,Web Developer,14,14000,Product,2019-09-15,Stephanie Hodges,Lead,Invalid Number
100,Brian,Watkins,brianwatkins99160@slingacademy.com,2648820032,male,32,Web Developer,10,11000,Product,2019-09-15,Brian Watkins,Senior Data Engineer,2648820032
101,Zachary,Ellis,zacharyellis100141@slingacademy.com,+1-485-616-5391x8807,male,34,Tester,12,12000,Product,2020-07-20,Zachary Ellis,Lead,Invalid Number
102,Mark,Maxwell,markmaxwell101603@slingacademy.com,137-430-7223,male,28,Tester,4,9000,Product,2021-12-01,Mark Maxwell,Data Engineer,137-430-7223
103,Jill,Farmer,jillfarmer102620@slingacademy.com,0571661198,female,26,DevOps Engineer,4,9000,Product,2020-07-20,Jill Farmer,Data Engineer,0571661198
104,Rhonda,Park,rhondapark103796@slingacademy.com,498-878-6219,female,35,DevOps Engineer,12,13000,Product,2020-07-20,Rhonda Park,Lead,498-878-6219
105,Jessica,Park,jessicapark104881@slingacademy.com,874-348-4705,female,26,HR Manager,1,5500,Human Resource,2020-07-20,Jessica Park,System Engineer,874-348-4705
106,Keith,Bender,keithbender105366@slingacademy.com,001-243-891-5674x423,male,35,Machine Learning Engineer,10,10000,Product,2020-07-20,Keith Bender,Senior Data Engineer,Invalid Number
107,Andrew,Silva,andrewsilva106948@slingacademy.com,3782883279,male,35,HR Manager,12,11000,Human Resource,2022-04-30,Andrew Silva,Lead,3782883279
108,John,Escobar,johnescobar107306@slingacademy.com,661.598.4267x044,male,34,Mobile Developer,8,10000,Product,2020-07-20,John Escobar,Senior Data Engineer,Invalid Number
109,Savannah,Woods,savannahwoods108924@slingacademy.com,(084)639-6565x41150,female,23,Web Developer,1,5500,Product,2020-07-20,Savannah Woods,System Engineer,Invalid Number
110,Cameron,Solis,cameronsolis109983@slingacademy.com,+1-654-849-0805x279,male,36,Machine Learning Engineer,14,14000,Product,2021-12-01,Cameron Solis,Lead,Invalid Number
111,Patrick,Johnson,patrickjohnson110856@slingacademy.com,+1-538-767-6692x1656,male,36,Tester,12,13000,Product,2022-04-30,Patrick Johnson,Lead,Invalid Number
112,Nathan,Oconnor,nathanoconnor111395@slingacademy.com,189.488.8815x56036,male,37,Mobile Developer,11,11500,Product,2019-09-15,Nathan Oconnor,Lead,Invalid Number
113,Felicia,Fox,feliciafox112789@slingacademy.com,001-231-826-1761x9193,female,38,Web Developer,12,11000,Product,2022-04-30,Felicia Fox,Lead,Invalid Number
114,Nicole,Davis,nicoledavis113588@slingacademy.com,+1-352-114-7038x011,female,26,Web Developer,1,5500,Product,2021-12-01,Nicole Davis,System Engineer,Invalid Number
115,Gregory,Kirk,gregorykirk114408@slingacademy.com,(622)794-0249x585,male,39,Machine Learning Engineer,13,11500,Product,2018-05-10,Gregory Kirk,Lead,Invalid Number
116,Ashley,Carrillo,ashleycarrillo115726@slingacademy.com,001-097-500-5888,female,37,Tester,12,12000,Product,2021-12-01,Ashley Carrillo,Lead,001-097-500-5888
117,Brandon,White,brandonwhite116729@slingacademy.com,+1-197-659-8290x36913,male,31,Machine Learning Engineer,7,8500,Product,2019-09-15,Brandon White,Senior Data Engineer,Invalid Number
118,Joshua,Miles,joshuamiles117429@slingacademy.com,+1-810-231-0550,male,29,Web Developer,5,7500,Product,2019-09-15,Joshua Miles,Data Engineer,+1-810-231-0550
119,Gabriel,Shannon,gabrielshannon118996@slingacademy.com,001-435-888-3180x25244,male,33,DevOps Engineer,11,13500,Product,2022-04-30,Gabriel Shannon,Lead,Invalid Number
120,Charles,Chan,charleschan119980@slingacademy.com,077-570-4283,male,26,Machine Learning Engineer,2,7000,Product,2018-05-10,Charles Chan,System Engineer,077-570-4283
121,Stephanie,Hill,stephaniehill120240@slingacademy.com,(765)304-0263x230,female,38,DevOps Engineer,15,15500,Product,2020-07-20,Stephanie Hill,Lead,Invalid Number
122,Brian,Kelly,briankelly121771@slingacademy.com,+1-029-019-2206x665,male,38,DevOps Engineer,12,15000,Product,2019-09-15,Brian Kelly,Lead,Invalid Number
123,Susan,Lopez,susanlopez122522@slingacademy.com,573-472-7131,female,30,Machine Learning Engineer,8,9000,Product,2021-12-01,Susan Lopez,Senior Data Engineer,573-472-7131
124,Logan,Edwards,loganedwards123515@slingacademy.com,536.588.4331,male,36,Designer,14,16000,Product,2019-09-15,Logan Edwards,Lead,536.588.4331
125,Ryan,Young,ryanyoung124775@slingacademy.com,001-105-720-6802x583,male,36,DevOps Engineer,13,15500,Product,2020-07-20,Ryan Young,Lead,Invalid Number
126,Rebecca,Crawford,rebeccacrawford125111@slingacademy.com,(450)663-6253x153,female,37,Web Developer,13,11500,Product,2019-09-15,Rebecca Crawford,Lead,Invalid Number
127,Leslie,Sullivan,lesliesullivan126504@slingacademy.com,161.488.4614x1551,female,40,Tester,15,12500,Product,2021-12-01,Leslie Sullivan,Lead,Invalid Number
128,Andrew,Carey,andrewcarey127127@slingacademy.com,4267904671,male,24,DevOps Engineer,1,9500,Product,2021-12-01,Andrew Carey,System Engineer,4267904671
129,Richard,Sawyer,richardsawyer128529@slingacademy.com,(485)441-3528,male,30,Mobile Developer,8,11000,Product,2019-09-15,Richard Sawyer,Senior Data Engineer,(485)441-3528
130,Garrett,Nguyen,garrettnguyen129713@slingacademy.com,+1-370-218-5389x8154,male,36,Machine Learning Engineer,13,11500,Product,2018-05-10,Garrett Nguyen,Lead,Invalid Number
131,Cody,Zuniga,codyzuniga130555@slingacademy.com,911.596.7824x40746,male,35,DevOps Engineer,13,15500,Product,2021-12-01,Cody Zuniga,Lead,Invalid Number
132,James,Johnson,jamesjohnson131504@slingacademy.com,358.400.3210,male,31,Tester,9,9500,Product,2022-04-30,James Johnson,Senior Data Engineer,358.400.3210
133,Jamie,Ruiz,jamieruiz132870@slingacademy.com,001-015-657-5863x0258,female,27,Tester,4,7000,Product,2020-07-20,Jamie Ruiz,Data Engineer,Invalid Number
134,Brandi,Evans,brandievans133450@slingacademy.com,(388)123-2730x36223,female,29,Tester,5,8500,Product,2022-04-30,Brandi Evans,Data Engineer,Invalid Number
135,Jennifer,Obrien,jenniferobrien134415@slingacademy.com,001-576-701-2547,female,40,Mobile Developer,14,12000,Product,2020-07-20,Jennifer Obrien,Lead,001-576-701-2547
136,Whitney,Espinoza,whitneyespinoza135280@slingacademy.com,(395)465-0024x542,female,29,Machine Learning Engineer,7,11500,Product,2020-07-20,Whitney Espinoza,Senior Data Engineer,Invalid Number
137,Brandon,Rosario,brandonrosario136801@slingacademy.com,5804460236,male,26,Mobile Developer,4,8000,Product,2022-04-30,Brandon Rosario,Data Engineer,5804460236
138,Jennifer,Rhodes,jenniferrhodes137946@slingacademy.com,+1-182-210-6837x27845,female,29,Web Developer,4,8000,Product,2019-09-15,Jennifer Rhodes,Data Engineer,Invalid Number
139,Jordan,Michael,jordanmichael138385@slingacademy.com,(372)150-9511,female,27,Mobile Developer,3,7500,Product,2022-04-30,Jordan Michael,Data Engineer,(372)150-9511
140,James,Knight,jamesknight139390@slingacademy.com,325.002.8388x1091,male,26,Web Developer,3,8500,Product,2020-07-20,James Knight,Data Engineer,Invalid Number
141,Michelle,Ramirez,michelleramirez140449@slingacademy.com,923.789.8867x807,female,27,Machine Learning Engineer,3,8500,Product,2021-12-01,Michelle Ramirez,Data Engineer,Invalid Number
142,Peter,Mercado,petermercado141760@slingacademy.com,890-585-7726x64628,male,33,Mobile Developer,11,12500,Product,2018-05-10,Peter Mercado,Lead,Invalid Number
143,Jason,George,jasongeorge142858@slingacademy.com,001-431-125-6069,male,25,Machine Learning Engineer,2,9000,Product,2020-07-20,Jason George,System Engineer,001-431-125-6069
144,John,Arroyo,johnarroyo143863@slingacademy.com,6849186207,male,31,Machine Learning Engineer,5,7500,Product,2019-09-15,John Arroyo,Data Engineer,6849186207
145,Ashley,Mccann,ashleymccann144440@slingacademy.com,001-197-825-7624x4162,female,32,Web Developer,8,11000,Product,2022-04-30,Ashley Mccann,Senior Data Engineer,Invalid Number
146,John,Robinson,johnrobinson145915@slingacademy.com,(200)221-4696,male,31,DevOps Engineer,8,12000,Product,2019-09-15,John Robinson,Senior Data Engineer,(200)221-4696
147,Michael,Clark,michaelclark146199@slingacademy.com,(726)898-3126x779,male,32,Web Developer,6,8000,Product,2019-09-15,Michael Clark,Senior Data Engineer,Invalid Number
148,Julia,Howe,juliahowe147145@slingacademy.com,270-885-8330x203,female,33,Web Developer,8,9000,Product,2022-04-30,Julia Howe,Senior Data Engineer,Invalid Number
149,John,Roy,johnroy148826@slingacademy.com,001-579-003-5317x80657,male,31,DevOps Engineer,9,11500,Product,2019-09-15,John Roy,Senior Data Engineer,Invalid Number
150,Paul,Nguyen,paulnguyen149760@slingacademy.com,(601)907-3624x42015,male,39,Mobile Developer,14,12000,Product,2019-09-15,Paul Nguyen,Lead,Invalid Number
151,Chelsea,Lewis,chelsealewis150888@slingacademy.com,406-096-8891x1387,female,32,DevOps Engineer,10,13000,Product,2022-04-30,Chelsea Lewis,Senior Data Engineer,Invalid Number
152,Austin,Bell,austinbell151766@slingacademy.com,819-364-7742x938,male,40,DevOps Engineer,15,16500,Product,2019-09-15,Austin Bell,Lead,Invalid Number
153,Paul,Allen,paulallen152619@slingacademy.com,2104766565,male,28,Mobile Developer,2,8000,Product,2018-05-10,Paul Allen,System Engineer,2104766565
154,Gary,Oliver,garyoliver153551@slingacademy.com,001-307-413-8100,male,29,Mobile Developer,4,7000,Product,2022-04-30,Gary Oliver,Data Engineer,001-307-413-8100
155,Diana,Bowers,dianabowers154842@slingacademy.com,(472)461-2314,female,29,Web Developer,3,7500,Product,2022-04-30,Diana Bowers,Data Engineer,(472)461-2314
156,Cody,Peters,codypeters155367@slingacademy.com,+1-538-563-4682x108,male,39,Mobile Developer,15,13500,Product,2022-04-30,Cody Peters,Lead,Invalid Number
157,Cameron,Gonzalez,camerongonzalez156781@slingacademy.com,001-671-656-9205,male,35,DevOps Engineer,13,14500,Product,2020-07-20,Cameron Gonzalez,Lead,001-671-656-9205
158,Shelia,Benson,sheliabenson157744@slingacademy.com,001-433-182-3042x4134,female,26,Mobile Developer,3,6500,Product,2018-05-10,Shelia Benson,Data Engineer,Invalid Number
159,Jacqueline,Brooks,jacquelinebrooks158463@slingacademy.com,803-716-9920,female,33,DevOps Engineer,10,14000,Product,2019-09-15,Jacqueline Brooks,Senior Data Engineer,803-716-9920
160,William,Turner,williamturner159974@slingacademy.com,611.777.0181,male,33,Web Developer,11,12500,Product,2020-07-20,William Turner,Lead,611.777.0181
161,Lisa,Logan,lisalogan160552@slingacademy.com,631.001.6670x895,female,37,Web Developer,15,12500,Product,2021-12-01,Lisa Logan,Lead,Invalid Number
162,Jeffery,Jones,jefferyjones161216@slingacademy.com,001-510-870-8941x9602,male,37,Mobile Developer,12,12000,Product,2018-05-10,Jeffery Jones,Lead,Invalid Number
